"Valor","Data do Recebimento","Status do Débito","Descrição"
"R$ 228,00","01/03/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","01/03/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","01/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","01/03/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","01/03/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","01/03/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 325,00","01/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/03/2024","Pago","Mensalidade De Adesão"
"R$ 350,00","01/03/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/03/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/03/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 4,50","01/04/2024","Pago","CAPSULA DE CAFE"
"R$ 42,75","01/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 48,75","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 87,50","01/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 150,00","01/04/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 180,00","01/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 199,50","01/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","01/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","01/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","01/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 230,00","01/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","01/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","01/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","01/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","01/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","01/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","01/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","01/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE TEMPORÁRIO"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE USUÁRIO"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 48,75","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 48,75","01/07/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 48,75","01/07/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 48,75","01/07/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 150,00","01/07/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 200,00","01/07/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 230,00","01/07/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","01/07/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","01/07/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","01/07/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","01/07/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","01/07/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","01/07/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","01/07/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","01/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE USUÁRIO"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","01/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 42,75","02/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 87,50","02/01/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 199,50","02/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","02/01/2024","Pago","MENSALIDADES"
"R$ 285,00","02/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 87,50","02/02/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 199,50","02/02/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","02/02/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","02/02/2024","Pago","FUTEBOL DE DOMINGO"
"R$ 256,50","02/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","02/02/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 48,75","02/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 48,75","02/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 48,75","02/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 100,00","02/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","02/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","02/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 180,00","02/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 230,00","02/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","02/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","02/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","02/04/2024","Pago","MENSALIDADE TEMPORÁRIO"
"R$ 325,00","02/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","02/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","02/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","02/04/2024","Pago","MENSALIDADE TEMPORÁRIO"
"R$ 42,75","02/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 42,75","02/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 42,75","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 42,75","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 48,75","02/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 100,00","02/05/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","02/05/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 199,50","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","02/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","02/05/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 228,00","02/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 230,00","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","02/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","02/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","02/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","02/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","02/05/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","02/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","02/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","02/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","02/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","02/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 400,00","02/05/2024","Pago","ALUGUEL QUIOSQUE 05/05/2024"
"R$ 48,75","02/07/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 100,00","02/07/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","02/07/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 230,00","02/07/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","02/07/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","02/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","02/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","02/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","02/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 180,00","03/01/2024","Pago","MENSALIDADES"
"R$ 87,50","03/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 228,00","03/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 228,00","03/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 230,00","03/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","03/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","03/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","03/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 325,00","03/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","03/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","03/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","03/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 4,50","03/05/2024","Pago","CAPSULA DE CAFE"
"R$ 87,50","03/05/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 87,50","03/05/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","03/05/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","03/05/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 150,00","03/05/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 199,50","03/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","03/05/2024","Pago","FUTEBOL DE DOMINGO"
"R$ 230,00","03/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","03/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","03/05/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 285,00","03/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","03/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","03/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","03/05/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","03/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","03/05/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 48,75","03/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 150,00","03/06/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 230,00","03/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","03/06/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","03/06/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 325,00","03/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","03/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","03/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","03/06/2024","Pago","1ªMENS."
"R$ 325,00","03/06/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","03/06/2024","Pago","MULTA DE RESCISÃO DE CONTRATO"
"R$ 350,00","03/06/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","03/06/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","03/06/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 350,00","03/06/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 100,00","03/07/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","03/07/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 230,00","03/07/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 325,00","03/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","03/07/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","03/07/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 42,75","04/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 42,75","04/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 199,50","04/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","04/01/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 228,00","04/01/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","04/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","04/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","04/01/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","04/01/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 4,50","04/03/2024","Pago","CAPSULA DE CAFE"
"R$ 4,50","04/03/2024","Pago","CAPSULA DE CAFÉ"
"R$ 4,50","04/03/2024","Pago","CAPSULA DE CAFÉ"
"R$ 42,75","04/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 48,75","04/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 87,50","04/03/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 180,00","04/03/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 199,50","04/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","04/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","04/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","04/03/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","04/03/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","04/03/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 230,00","04/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","04/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 230,00","04/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","04/03/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","04/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","04/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","04/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","04/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","04/03/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 350,00","04/03/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 48,75","04/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 48,75","04/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 100,00","04/04/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 199,50","04/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","04/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","04/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","04/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 200,00","04/04/2024","Pago","MENSALIDADE INDIVIDUAL"
"R$ 230,00","04/04/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 260,00","04/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 260,00","04/04/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 285,00","04/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","04/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","04/04/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 325,00","04/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","04/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","04/04/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 325,00","04/04/2024","Pago","MENSALIDADE FAMILIAR"
